DEPTH (nm),B,DEPTH (nm),Ge,DEPTH (nm),C,DEPTH (nm),As
86.315,1.9475E+19,50.034,27.41335683,112.72887,1.82061E+18,61.94005,3.75974E+19
87.045,1.71336E+19,50.764,27.9888277,113.66848,1.61297E+18,62.87965,3.29758E+19
87.775,1.51059E+19,51.494,28.42523208,114.60806,1.56713E+18,63.83147,2.90718E+19
88.505,1.29726E+19,52.224,28.46687665,115.54762,1.45311E+18,64.77107,2.36293E+19
89.235,1.12461E+19,52.954,28.15693119,116.48716,1.21499E+18,65.71069,1.96525E+19
89.965,9.29407E+18,53.684,27.79633447,117.42668,1.40309E+18,66.65056,1.56079E+19
90.695,7.8381E+18,54.414,27.11967748,118.36619,1.14965E+18,67.57947,1.32583E+19
91.425,6.86103E+18,55.144,25.70263698,119.3057,1.02177E+18,68.5248,1.05971E+19
92.155,5.95385E+18,55.874,23.6303334,120.2452,9.95916E+17,69.47695,8.42528E+18
92.885,4.82661E+18,56.604,21.3072697,121.1847,9.18043E+17,70.43919,6.4891E+18
93.615,4.22904E+18,57.334,18.89552991,122.1242,9.60907E+17,71.41147,4.81129E+18
94.345,3.64025E+18,58.064,16.40580281,123.0637,9.03485E+17,72.3934,4.0686E+18
95.075,3.07373E+18,58.794,14.09398581,123.991,6.48325E+17,73.38503,2.4515E+18
95.805,2.75436E+18,59.524,12.12874312,124.9305,6.49694E+17,74.38532,1.27801E+18
96.535,2.52085E+18,60.254,10.45175219,125.8822,7.9226E+17,75.39388,8.12956E+16
97.265,2.17949E+18,60.984,9.018584844,126.82169,7.82458E+17,76.42402,1.00E+10
97.995,1.87388E+18,61.714,7.719061232,127.76119,6.4152E+17,77.43495,1.00E+10
98.725,1.53815E+18,62.444,6.524582688,128.70068,5.45047E+17,78.46631,1.00E+10
99.455,1.28781E+18,63.174,5.552379493,129.64018,5.44388E+17,79.50117,1.00E+10
100.185,1.02828E+18,63.904,4.837400028,130.57967,5.06015E+17,80.54267,1.00E+10
100.915,9.05041E+17,64.634,4.256942183,131.51917,5.38907E+17,81.58791,1.00E+10
101.645,8.44601E+17,65.364,3.649014749,132.44646,3.7283E+17,82.63762,1.00E+10
102.375,7.25115E+17,66.094,3.086182676,133.38596,3.78687E+17,83.69168,1.00E+10
103.105,6.16757E+17,66.824,2.64298617,134.32545,3.32309E+17,84.7469,1.00E+10
103.835,6.47334E+17,67.554,2.28182621,135.26494,3.97216E+17,85.80478,1.00E+10
104.565,5.18813E+17,68.284,2.000675039,136.20444,3.0732E+17,86.84933,1.00E+10
105.295,4.10105E+17,69.014,1.734886359,137.14393,3.55071E+17,87.90554,1.00E+10
106.025,3.89946E+17,69.744,1.474462529,138.09563,3.14005E+17,88.95541,1.00E+10
106.755,3.4988E+17,70.474,1.26792795,139.03512,2.49918E+17,90.00844,1.00E+10
107.485,3.20762E+17,71.204,1.098694077,139.97462,2.26188E+17,91.03288,1.00E+10
108.215,3.16062E+17,71.934,0.953009798,140.91411,3.4891E+17,92.0435,1.00E+10
108.945,3.06062E+17,72.664,0.834360905,141.8414,2.1877E+17,93.03974,1.00E+10
109.675,2.34603E+17,73.394,0.723471727,142.78089,2.98614E+17,94.02506,1.00E+10
110.405,1.43516E+17,74.124,0.619651887,143.72039,1.86137E+17,95.00143,1.00E+10
111.135,7.85376E+16,74.854,0.535341443,144.65988,2.19062E+17,95.96952,1.00E+10
111.865,1.12844E+17,75.584,0.459352368,145.59937,9.72786E+16,96.91879,1.00E+10
112.595,1.11654E+17,76.314,0.394607151,146.53887,1.85928E+17,97.87599,1.00E+10
113.325,1.2922E+17,77.044,0.340733978,147.47836,2.10474E+17,98.82901,1.00E+10
114.055,1.45332E+17,77.774,0.291212953,148.41785,2.66984E+17,99.77926,1.00E+10
114.785,1.66446E+17,78.504,0.257887367,149.35735,1.87051E+17,100.72703,1.00E+10
115.515,1.53757E+17,79.234,0.234851885,150.29684,1.05092E+17,101.67297,1.70494E+16
116.245,1.366E+17,79.964,0.201399657,151.23633,2.10241E+17,102.62975,1.63158E+15
116.975,9.58718E+16,80.694,0.167856079,152.17583,1.45285E+17,103.57317,6.1834E+16
117.705,1.35053E+17,81.424,0.153296095,153.11532,9.7406E+16,104.51553,1.03857E+16
118.435,1.27955E+17,82.154,0.137239986,154.05481,1.46843E+17,105.4573,2.43656E+16
119.165,1.06192E+17,82.884,0.111860502,154.99431,1.15173E+17,106.38629,1.63158E+15
119.895,9.33074E+16,83.614,0.093500945,155.9338,1.80242E+17,107.32702,2.84531E+16
120.625,1.05303E+17,84.344,0.081056284,156.87329,1.22071E+17,108.26747,2.43281E+16
121.355,9.39688E+16,85.074,0.072496339,157.81278,1.38344E+17,109.20763,4.85977E+16
122.085,6.83989E+16,85.804,0.063475664,158.75228,1.30963E+17,110.14761,1.85366E+16
122.815,1.66921E+16,86.534,0.057217908,159.67957,1.54755E+17,111.08745,2.2463E+16
170,1.00E+15,87.264,0.060309887,160.61906,1.21274E+17,112.02719,1.79815E+16
,,87.994,0.061888671,161.55856,1.05635E+17,112.96683,4.47192E+16
,,88.724,0.056616361,162.51025,1.2186E+17,113.90643,5.59258E+16
,,89.454,0.047866474,163.44974,9.74899E+16,114.84601,5.24538E+16
,,90.184,0.040659773,164.38924,4.85582E+16,115.78556,6.79972E+16
,,90.914,0.040319844,165.32873,8.94697E+16,116.72509,2.60444E+16
,,91.644,0.043915266,166.26822,8.96944E+16,117.66461,6.263E+16
,,92.374,0.041720507,167.20771,1.61353E+16,118.60412,7.12507E+16
,,93.104,0.034360814,168.14721,8.13178E+16,119.54362,6.80927E+16
,,93.834,0.032861373,169.0745,5.672E+16,120.48313,7.56027E+16
,,94.564,0.032976299,170.01399,8.86969E+16,121.42263,5.49894E+16
,,95.294,0.03168624,170.95349,3.21722E+16,122.36213,5.66382E+16
,,96.024,0.033411384,171.89298,6.46618E+16,123.30163,7.26941E+16
,,96.754,0.034085858,172.83247,8.08466E+16,124.22892,8.97621E+16
,,97.484,0.032533985,173.77197,7.30997E+16,125.16842,9.20018E+16
,,98.214,0.026027841,174.72366,3.24244E+16,126.12012,1.02393E+17
,,98.944,0.01828241,175.66315,3.22166E+16,127.05962,1.09989E+17
,,99.674,0.020377064,176.60265,8.15703E+16,127.99911,1.10344E+17
,,100.404,0.025058596,177.52994,6.49049E+16,128.93861,1.22551E+17
,,101.134,0.022221016,178.46943,3.21504E+16,129.8781,1.10273E+17
,,101.864,0.022278297,179.40892,6.41197E+16,130.8176,1.10829E+17
,,102.594,0.025986955,180.34842,4.86409E+16,131.75709,7.79591E+16
,,103.324,0.026193947,181.28791,8.97956E+16,132.68439,1.20759E+17
,,104.054,0.024791054,182.2274,6.52461E+16,133.62388,1.5907E+17
,,104.784,0.02193022,183.1669,1.61097E+16,134.56337,1.39027E+17
,,105.514,0.026952525,184.10639,3.22896E+16,135.50287,1.8822E+17
,,106.244,0.034789925,185.04588,8.10056E+16,136.44236,1.35031E+17
,,106.974,0.028233474,185.99758,3.24115E+16,137.38185,1.54247E+17
,,107.704,0.021183496,186.92487,8.01627E+15,138.33355,1.38001E+17
,,108.434,0.02406809,187.86436,4.88737E+16,139.27305,1.37388E+17
,,109.164,0.023857181,188.80386,8.14104E+16,140.21254,2.04187E+17
,,109.894,0.02000544,189.74335,2.41821E+16,141.15203,1.59955E+17
,,110.624,0.018699122,190.68284,8.15118E+16,142.07932,1.71849E+17
,,111.354,0.019726506,191.62234,2.42827E+16,143.01882,1.51293E+17
,,112.084,0.022118907,192.56183,4.05757E+16,143.95831,1.67284E+17
,,112.814,0.022197483,193.50133,5.66424E+16,144.8978,1.35342E+17
,,113.544,0.019658918,194.44082,2.3126E+16,145.8373,1.9647E+17
,,114.274,0.020993069,195.36811,4.05243E+16,146.77679,2.19674E+17
,,115.004,0.025934328,196.3076,3.24446E+16,147.71628,1.35039E+17
,,115.734,0.027240312,197.2471,7.2899E+16,148.65578,1.87764E+17
,,116.464,0.023337392,198.19879,8.10549E+16,149.59527,1.8959E+17
,,117.194,0.019902107,199.13828,3.23521E+16,150.53476,2.21558E+17
,,117.924,0.019077596,200.07778,5.65769E+16,151.47426,1.9565E+17
,,118.654,0.018316549,201.01727,3.24549E+16,152.41375,2.28513E+17
,,119.384,0.018824396,201.95676,4.03644E+16,153.35324,1.68571E+17
,,120.114,0.020300437,202.89626,4.8443E+16,154.29274,2.35096E+17
,,120.844,0.021036655,203.83575,4.0385E+16,155.23223,2.33582E+17
,,121.574,0.020821267,204.76304,2.40101E+16,156.17172,2.72168E+17
,,122.304,0.019074501,205.70254,1.6175E+16,157.11122,2.62874E+17
,,123.034,0.016248306,206.64203,4.88694E+16,158.05071,2.71479E+17
,,123.764,0.01438886,207.58153,3.25434E+16,158.9902,2.73641E+17
